ResponseID,Timestamp,Q1_Age,Q2_Gender,Q3_City,Q4_Occupation,Q5_Income,Q6_Education,Q7_Awareness,Q8_Purchase,Q9_Motivation,Q10_BrowseFrequency,Q12_BiggestConcern,Q13_AuthImportance,Q19_Mechanism,Q20_Community,Q25_Discovery,Q26_ShoppingTime,Q27_DecisionSpeed,Q28_Influence,Q29_MaxSpent,Q30_Sneakers_WTP,Q30_Watches_WTP,Q30_Cards_WTP,Q31_HobbySpending,Q32_IncomePercent,Q33_EMI,Q34_Likelihood,Q35_Recommend,Q36_When,Q37_OneFeature,Q38_Suggestions,Q11_Instagram_Facebook_Groups,Q11_OLX_Quikr,Q11_Retail_Stores,Q11_International_Platforms,Q11_Friends_Personal_Network,Q11_Local_Meetups_Events,Q11_Don't_buy_sell,Q11_Other,Q14_Limited_Edition_Sneakers,Q14_Luxury_Watches,Q14_Affordable_Fashion_Watches,Q14_Sports_Trading_Cards,Q14_Pokemon_Gaming_Cards,Q14_Streetwear,Q14_Collectible_Toys,Q14_Vintage_Items,Q14_Art_Prints_Posters,Q14_Comic_Books,Q14_None,Q15_Limited_edition_releases,Q15_Brand_collaborations,Q15_Resale_value_Investment,Q15_Personal_style_fashion,Q15_Rarity,Q15_Brand_loyalty,Q15_Not_interested,Q16_Luxury_1L+,Q16_Mid_range_20K_1L,Q16_Affordable_Below_20K,Q16_Vintage_watches,Q16_Smart_watches,Q16_Limited_editions,Q16_Not_interested,Q17_Cricket_cards,Q17_Football_Soccer_cards,Q17_Basketball_cards,Q17_Pokemon_cards,Q17_Other_gaming_cards,Q17_Not_interested,Q18_Brand_New_Deadstock,Q18_Gently_Used_9_10,Q18_Used_7-8_10,Q18_Vintage_Pre-owned,Q18_Only_Brand_New,Q21_Physical_authentication_centers,Q21_Money-back_guarantee,Q21_Verified_seller_badges,Q21_User_reviews_ratings,Q21_Partnership_with_brands,Q21_Insurance_on_items,Q21_Transparent_fee_structure,Q21_Celebrity_Influencer_endorsement,Q21_Video_proof_of_authentication,Q22_UPI,Q22_Credit_Debit_Card,Q22_Net_Banking,Q22_EMI_Options,Q22_Cash_on_Delivery,Q22_Digital_Wallets,Q22_Cryptocurrency,Q23_Price_history_tracking,Q23_Authentication_certificate,Q23_Seller_ratings,Q23_Real-time_bidding,Q23_Mobile_app,Q23_Wishlist_Save_items,Q23_Price_alerts,Q23_Video_authentication_proof,Q23_Community_forums,Q23_Return_Refund_policy,Q23_Secure_packaging,Q24_Storage_Vault_service,Q24_Authentication-only_service,Q24_Collectible_insurance,Q24_Market_value_appraisal,Q24_Cleaning_restoration_service,Q24_Consignment_selling,Q24_None
11,2024-01-01 10:00:00,18-22,Male,Bangalore,Employed (Government),3-6 Lakhs,Graduate,Somewhat aware,"Yes, multiple times",Nostalgia,Once a week,Payment security,Extremely important,No preference,Very important,Influencers/Celebrities,Night (9 PM - 12 AM),Quick (same day),Resale value,2000-5000,6941,3809,3110,Below 1000,Less than 5%,Maybe,Definitely will use,Probably yes,After 6-12 months,Better prices than international platforms,Hope shipping is secure and insured,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
12,2024-01-01 11:00:00,46+,Female,Bangalore,Self-Employed/Business Owner,6-10 Lakhs,Undergraduate,"Yes, very aware","Yes, once or twice",Personal collection/hobby,Once a week,Lack of return policy,Somewhat important,Fixed Price Marketplace,Somewhat important,Social media,Afternoon (12 PM - 5 PM),Quick (same day),Personal desire/passion,Below 2000,9216,26309,5852,3000-5000,Less than 5%,"Yes, if interest-free",Very likely,"Yes, definitely",Within first month,Transparent pricing with no hidden charges,"Looks promising, hope it launches soon",1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0
13,2024-01-01 12:00:00,33-37,Male,Mumbai,Employed (Private Sector),10-15 Lakhs,Graduate,Somewhat aware,"No, but interested",N/A,Rarely,Lack of return policy,Very important,Bid/Ask System,Somewhat important,News websites,Evening (5 PM - 9 PM),Impulsive (within minutes),Resale value,Never purchased,8632,38142,7014,3000-5000,10-15%,"Yes, definitely",Definitely will use,Probably yes,Immediately,Easy return policy,No specific suggestions at this time,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1
14,2024-01-01 13:00:00,23-27,Male,Chennai,Student,Below 3 Lakhs,Graduate,Heard about it but don't know much,"Yes, once or twice",Social status/showing off,2-3 times a week,Authenticity/Fake products,Extremely important,Live Auction,Not important,Friends/Word of mouth,Night (9 PM - 12 AM),Slow (weeks),Personal desire/passion,Never purchased,2340,2952,715,Below 1000,10-15%,"No, prefer full payment",Very likely,"Yes, definitely",Within first month,Easy return policy,Need more information about authentication process,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
15,2024-01-01 14:00:00,23-27,Female,Hyderabad,Student,3-6 Lakhs,Graduate,Somewhat aware,"No, but interested",N/A,Once a week,Lack of return policy,Not very important,Fixed Price Marketplace,Somewhat important,Online forums/communities,Evening (5 PM - 9 PM),Moderate (1-3 days),Personal desire/passion,Never purchased,2725,2787,3010,1000-3000,Less than 5%,Maybe,Somewhat likely,Probably yes,After 3-6 months,Price tracking and alerts,Pricing should be competitive,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1
16,2024-01-01 15:00:00,23-27,Female,Delhi/NCR,Unemployed,25-50 Lakhs,Graduate,"Yes, very aware","No, but interested",N/A,Rarely,High prices,Extremely important,No preference,Very important,Social media,Evening (5 PM - 9 PM),Quick (same day),Personal desire/passion,Never purchased,15548,67520,7699,3000-5000,Less than 5%,Maybe,Definitely will use,"Yes, definitely",Within first month,Expert authentication team,Video authentication would be great,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0
17,2024-01-01 16:00:00,23-27,Male,Mumbai,Employed (Private Sector),3-6 Lakhs,Post-Graduate,Somewhat aware,"Yes, multiple times",Personal collection/hobby,Daily,High prices,Extremely important,Bid/Ask System,Very important,Social media,Morning (6 AM - 12 PM),Quick (same day),Price/Good deal,10000-25000,3494,5252,1216,5000-10000,Less than 5%,"Yes, definitely",Definitely will use,"Yes, definitely",Immediately,Guaranteed authenticity with certificate,"Looks promising, hope it launches soon",1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0
18,2024-01-01 17:00:00,28-32,Male,Hyderabad,Self-Employed/Business Owner,Below 3 Lakhs,Graduate,Heard about it but don't know much,"No, but interested",N/A,Once a week,High prices,Very important,Fixed Price Marketplace,Somewhat important,Social media,Evening (5 PM - 9 PM),Slow (weeks),Personal desire/passion,Below 2000,7259,2912,2460,3000-5000,15-20%,"Yes, if interest-free",Somewhat likely,Not sure,Probably never,Expert authentication team,Interested to see how this develops,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1
19,2024-01-01 18:00:00,23-27,Female,Pune,Employed (Private Sector),Below 3 Lakhs,Undergraduate,Heard about it but don't know much,"No, but interested",N/A,Rarely,Authenticity/Fake products,Very important,Live Auction,Somewhat important,Social media,Afternoon (12 PM - 5 PM),Moderate (1-3 days),Investment potential,Never purchased,5314,4385,1858,3000-5000,5-10%,"No, prefer full payment",Very likely,Probably yes,Within first month,Insurance on high-value items,Pricing should be competitive,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0
20,2024-01-01 19:00:00,23-27,Female,Delhi/NCR,Employed (Private Sector),3-6 Lakhs,Post-Graduate,"Yes, very aware","Yes, multiple times",Social status/showing off,Once a month,Authenticity/Fake products,Extremely important,Hybrid,Somewhat important,Social media,Late night (12 AM - 6 AM),Moderate (1-3 days),Price/Good deal,Never purchased,3290,4361,4377,1000-3000,5-10%,"No, prefer full payment",Definitely will use,Probably yes,Immediately,Community of verified collectors,No specific suggestions at this time,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
21,2024-01-01 20:00:00,28-32,Male,Tier 2 City,Employed (Private Sector),3-6 Lakhs,Undergraduate,Heard about it but don't know much,"No, but interested",N/A,Once a week,Trust in seller,Extremely important,Bid/Ask System,Somewhat important,Friends/Word of mouth,Evening (5 PM - 9 PM),Moderate (1-3 days),Resale value,Never purchased,1452,5624,920,1000-3000,Less than 5%,"Yes, if interest-free",Somewhat likely,Probably yes,Immediately,Fast and secure delivery,Make sure customer service is responsive,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0
22,2024-01-01 21:00:00,18-22,Male,Mumbai,Student,Below 3 Lakhs,Graduate,"Yes, very aware","Yes, once or twice",Personal collection/hobby,2-3 times a week,High prices,Very important,Fixed Price Marketplace,Very important,Online forums/communities,Night (9 PM - 12 AM),Quick (same day),Rarity/Exclusivity,Below 2000,2476,3313,4629,Below 1000,5-10%,"Yes, definitely",Definitely will use,"Yes, definitely",Within first month,Insurance on high-value items,Hope shipping is secure and insured,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1
23,2024-01-01 22:00:00,23-27,Male,Bangalore,Employed (Private Sector),6-10 Lakhs,Graduate,"Yes, very aware","No, but interested",N/A,Once a week,High prices,Very important,No preference,Somewhat important,Retail stores,Night (9 PM - 12 AM),Very slow (months),Personal desire/passion,Never purchased,4327,24233,8453,1000-3000,Less than 5%,"Yes, if interest-free",Definitely will use,Probably yes,Immediately,Fast and secure delivery,Would love to see rare collectibles,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
24,2024-01-01 23:00:00,23-27,Male,Other Metro,Self-Employed/Business Owner,3-6 Lakhs,Graduate,Not aware at all,"No, not interested",N/A,Rarely,Authenticity/Fake products,Very important,Live Auction,Somewhat important,Online forums/communities,Evening (5 PM - 9 PM),Slow (weeks),Personal desire/passion,Below 2000,7290,14970,3890,Below 1000,Less than 5%,"Yes, if interest-free",Definitely won't use,Not sure,Within first month,Easy return policy,Video authentication would be great,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
25,2024-01-02 00:00:00,28-32,Male,Bangalore,Employed (Private Sector),3-6 Lakhs,Undergraduate,"Yes, very aware","Yes, once or twice",Investment/resale value,Once a month,Authenticity/Fake products,Extremely important,Fixed Price Marketplace,Very important,Online forums/communities,Evening (5 PM - 9 PM),Quick (same day),Price/Good deal,2000-5000,7795,6329,2426,1000-3000,5-10%,Maybe,Definitely will use,"Yes, definitely",Immediately,Insurance on high-value items,Video authentication would be great,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
26,2024-01-02 01:00:00,33-37,Male,Pune,Employed (Private Sector),25-50 Lakhs,Graduate,Somewhat aware,"No, but interested",N/A,Once a week,Payment security,Extremely important,No preference,Very important,Friends/Word of mouth,Night (9 PM - 12 AM),Slow (weeks),Social proof,Never purchased,59508,85893,19067,1000-3000,5-10%,"No, prefer full payment",Definitely will use,"Yes, definitely",Within first month,Price tracking and alerts,Need strong anti-fraud measures,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
27,2024-01-02 02:00:00,23-27,Male,Bangalore,Student,Below 3 Lakhs,Post-Graduate,"Yes, very aware","Yes, multiple times",Gift for someone,Daily,High prices,Extremely important,Fixed Price Marketplace,Very important,Friends/Word of mouth,Night (9 PM - 12 AM),Slow (weeks),Price/Good deal,2000-5000,2939,3928,1046,1000-3000,Less than 5%,"Yes, if interest-free",Definitely will use,"Yes, definitely",Immediately,Wide variety of collectibles,Need strong anti-fraud measures,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0
28,2024-01-02 03:00:00,28-32,Female,Delhi/NCR,Unemployed,25-50 Lakhs,Graduate,Heard about it but don't know much,"No, but interested",N/A,Daily,High prices,Extremely important,Fixed Price Marketplace,Very important,Friends/Word of mouth,Afternoon (12 PM - 5 PM),Quick (same day),Personal desire/passion,2000-5000,27321,470075,7623,Below 1000,Less than 5%,"Yes, definitely",Very likely,Probably yes,Within first month,Verified seller ratings,Interested to see how this develops,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
29,2024-01-02 04:00:00,28-32,Male,Tier 2 City,Self-Employed/Business Owner,6-10 Lakhs,Graduate,Heard about it but don't know much,"No, but interested",N/A,Never,Authenticity/Fake products,Not very important,Bid/Ask System,Somewhat important,News websites,Evening (5 PM - 9 PM),Moderate (1-3 days),Resale value,2000-5000,16076,37522,7265,3000-5000,Less than 5%,"No, prefer full payment",Somewhat likely,Probably yes,After 3-6 months,Expert authentication team,Partnership with authorized retailers would help,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0
